"","Field1","Field1_1","ID","Field1_12","OBJECTID","XCoord","YCoord","CFS12DDGEO","STPOSTAL","FAF","CFSAREANAM","SHORTNAME","Lat","Lon","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y"
"1",1,1,1,1,1,-112.0001184,33.45383751,41,"AZ",41,"Phoenix-Mesa-Glendale, AZ  CFS Area","Phoenix",33.461677,-112.10833,2861,2.7180066744e-05,-112.10833054,33.4616498253
"2",2,2,2,2,2,-110.9603873,32.17893986,42,"AZ",42,"Tucson-Nogales, AZ  CFS Area","Tucson",32.194939,-110.977532,3078,4.23485816469e-05,-110.97757,32.194920308
"3",3,3,3,4,4,-92.272219,34.737843,50,"AR",50,"Little Rock","Little Rock",34.732932,-92.262215,54408,6.75677165657e-05,-92.2621540594,34.7329028172
"4",4,4,4,6,6,-121.3258583,38.69105321,62,"CA",62,"Sacramento-Roseville, CA  CFS Area","Sacramento",38.62498,-121.517122,24895,8.8710849514e-05,-121.51704118,38.6250165754
"5",5,5,5,7,7,-117.1118187,32.88418231,63,"CA",63,"San Diego-Carlsbad-San Marcos, CA  CFS Area","San Diego",32.771642,-117.132649,1145,0.000156971083094,-117.132613672,32.771489056
"6",6,6,6,8,8,-122.0792537,37.72044169,64,"CA",64,"San Jose-San Francisco-Oakland, CA  CFS Area","San Francisco",37.767835,-122.405384,13156,2.47850980343e-05,-122.405401829,37.767817783
"7",7,7,7,9,9,-119.7980994,36.78323552,65,"CA",65,"Fresno-Madera, CA  CFS Area","Fresno",36.717838,-119.784716,17985,6.06193970151e-05,-119.784756263,36.7177926835
"8",8,8,8,11,11,-104.9660668,39.78918842,81,"CO",81,"Denver-Aurora, CO  CFS Area","Denver",39.780182,-104.989404,38098,3.79153385423e-05,-104.989410727,39.7801446862
"9",9,9,9,13,14,-97.30126385,37.66055196,202,"KS",202,"Wichita-Arkansas City-Winfield, KS  CFS Area","Wichita",37.679111,-97.31275,51689,0.000115121503645,-97.3126348869,37.6791123911
"10",10,10,10,15,16,-91.05842191,30.45560474,221,"LA",221,"Baton Rouge, LA  CFS Area","Baton Rouge",30.418317,-91.116021,49084,0.000120265823505,-91.1160133622,30.418196977
"11",11,11,11,19,20,-115.1725844,36.14860606,321,"NV",321,"Las Vegas-Henderson, NV-AZ  CFS Area (NV Part)","Las Vegas",36.174339,-115.154976,28589,0.000185928667516,-115.154847855,36.1742042839
"12",12,12,12,21,22,-106.656422,35.091675,350,"NM",350,"Albuquerque","Albuquerque",35.105203,-106.629456,34704,4.11116586152e-05,-106.629452378,35.1051620482
"13",13,13,13,22,23,-97.48939616,35.44341365,401,"OK",401,"Oklahoma City-Shawnee, OK  CFS Area","Oklahoma City",35.462273,-97.493734,51334,5.83101985409e-06,-97.4937340838,35.4622671696
"14",14,14,14,23,24,-95.84523185,36.09962683,402,"OK",402,"Tulsa-Muskogee-Bartlesville, OK  CFS Area","Tulsa",36.113661,-95.896512,52758,0.00013284680049,-95.8964355364,36.1135523649
"15",15,15,15,25,26,-97.73888284,30.32476078,481,"TX",481,"Austin-Round Rock, TX  CFS Area","Austin",30.270219,-97.732987,44756,2.71132648241e-05,-97.732960943,30.2702115057
"16",16,16,16,26,27,-94.04638987,30.0979764,482,"TX",482,"Beaumont-Port Arthur, TX  CFS Area","Beaumont",30.094494,-94.093632,48250,0.000141558937975,-94.0936357436,30.0946355094
"17",17,17,17,27,28,-97.48828734,27.76230437,483,"TX",483,"Corpus Christi-Kingsville-Alice, TX  CFS Area","Corpus Christi",27.79799,-97.409166,43494,5.83368915115e-05,-97.4091657391,27.7980483363
"18",18,18,18,28,29,-96.93312826,32.8536243,484,"TX",484,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)","Dallas",32.75962,-97.057596,45944,1.06901632191e-05,-97.0575959601,32.7596306901
"19",19,19,19,29,30,-106.3687809,31.78120373,485,"TX",485,"El Paso-Las Cruces, TX-NM  CFS Area (TX Part)","El Paso",31.777481,-106.431788,5632,3.0598262437e-05,-106.431788143,31.7774504021
"20",20,20,20,31,32,-99.47200101,27.52244813,487,"TX",487,"Laredo, TX   CFS Area","Laredo",27.509465,-99.503138,42941,1.45756858369e-05,-99.5031234261,27.5094647743
"21",21,21,21,32,33,-98.49422104,29.48966511,488,"TX",488,"San Antonio-New Braunfels, TX  CFS Area","San Antonio",29.428295,-98.500764,44405,0.000111467100276,-98.5008742917,29.4283111452
"22",22,22,22,34,35,-111.8961752,40.68327242,491,"UT",491,"Salt Lake City-Provo-Orem, UT  CFS Area","Salt Lake City",40.765546,-111.949864,29632,9.86506799885e-05,-111.949857217,40.7654475828
"23",23,23,23,36,37,-118.24484,33.752638,0,"CA",0,"Port of Los Angeles/Long Beach","Port of Los Angeles/Long Beach",33.769684,-118.207204,21025,9.93177961138e-05,-118.207104721,33.769686777
"24",24,24,24,37,38,-90.07635,29.920865,0,"LA",0,"Port of New Orleans","Port of New Orleans",29.99197,-90.049468,49607,5.33313784506e-06,-90.049466067,29.9919650295
"25",25,25,25,38,39,-95.272342,29.730472,0,"TX",0,"Port of Houston","Port of Houston",29.775664,-95.264009,47483,8.07693497855e-06,-95.2640169034,29.7756656653
"26",26,26,26,0,0,0,0,0,"LA",0,"Lake Charles","Lake Charles",30.244093,-93.183386,48429,0.000119114024259,-93.1833022205,30.2440083292
